criterion,max_depth,max_features,min_samples_leaf,min_samples_split,splitter,mean_test_score,std_test_score,rank_test_score
gini,1,sqrt,1,2,best,0.5619047619047619,0.08857654875113465,381
gini,1,sqrt,1,2,random,0.5,0.0,513
gini,1,sqrt,1,5,best,0.5619047619047619,0.08857654875113465,381
gini,1,sqrt,1,5,random,0.5,0.0,513
gini,1,sqrt,1,10,best,0.5619047619047619,0.08857654875113465,381
gini,1,sqrt,1,10,random,0.5,0.0,513
gini,1,sqrt,1,100,best,0.5619047619047619,0.08857654875113465,381
gini,1,sqrt,1,100,random,0.5,0.0,513
gini,1,sqrt,5,2,best,0.5619047619047619,0.08857654875113465,381
gini,1,sqrt,5,2,random,0.5,0.0,513
gini,1,sqrt,5,5,best,0.5619047619047619,0.08857654875113465,381
gini,1,sqrt,5,5,random,0.5,0.0,513
gini,1,sqrt,5,10,best,0.5619047619047619,0.08857654875113465,381
gini,1,sqrt,5,10,random,0.5,0.0,513
gini,1,sqrt,5,100,best,0.5619047619047619,0.08857654875113465,381
gini,1,sqrt,5,100,random,0.5,0.0,513
gini,1,sqrt,10,2,best,0.5619047619047619,0.08857654875113465,381
gini,1,sqrt,10,2,random,0.5,0.0,513
gini,1,sqrt,10,5,best,0.5619047619047619,0.08857654875113465,381
gini,1,sqrt,10,5,random,0.5,0.0,513
gini,1,sqrt,10,10,best,0.5619047619047619,0.08857654875113465,381
gini,1,sqrt,10,10,random,0.5,0.0,513
gini,1,sqrt,10,100,best,0.5619047619047619,0.08857654875113465,381
gini,1,sqrt,10,100,random,0.5,0.0,513
gini,1,sqrt,50,2,best,0.46190476190476193,0.06135285107964347,945
gini,1,sqrt,50,2,random,0.5,0.0,513
gini,1,sqrt,50,5,best,0.46190476190476193,0.06135285107964347,945
gini,1,sqrt,50,5,random,0.5,0.0,513
gini,1,sqrt,50,10,best,0.46190476190476193,0.06135285107964347,945
gini,1,sqrt,50,10,random,0.5,0.0,513
gini,1,sqrt,50,100,best,0.46190476190476193,0.06135285107964347,945
gini,1,sqrt,50,100,random,0.5,0.0,513
gini,1,sqrt,100,2,best,0.5,0.0,513
gini,1,sqrt,100,2,random,0.5,0.0,513
gini,1,sqrt,100,5,best,0.5,0.0,513
gini,1,sqrt,100,5,random,0.5,0.0,513
gini,1,sqrt,100,10,best,0.5,0.0,513
gini,1,sqrt,100,10,random,0.5,0.0,513
gini,1,sqrt,100,100,best,0.5,0.0,513
gini,1,sqrt,100,100,random,0.5,0.0,513
gini,1,log2,1,2,best,0.5619047619047619,0.08857654875113465,381
gini,1,log2,1,2,random,0.5,0.0,513
gini,1,log2,1,5,best,0.5619047619047619,0.08857654875113465,381
gini,1,log2,1,5,random,0.5,0.0,513
gini,1,log2,1,10,best,0.5619047619047619,0.08857654875113465,381
gini,1,log2,1,10,random,0.5,0.0,513
gini,1,log2,1,100,best,0.5619047619047619,0.08857654875113465,381
gini,1,log2,1,100,random,0.5,0.0,513
gini,1,log2,5,2,best,0.5619047619047619,0.08857654875113465,381
gini,1,log2,5,2,random,0.5,0.0,513
gini,1,log2,5,5,best,0.5619047619047619,0.08857654875113465,381
gini,1,log2,5,5,random,0.5,0.0,513
gini,1,log2,5,10,best,0.5619047619047619,0.08857654875113465,381
gini,1,log2,5,10,random,0.5,0.0,513
gini,1,log2,5,100,best,0.5619047619047619,0.08857654875113465,381
gini,1,log2,5,100,random,0.5,0.0,513
gini,1,log2,10,2,best,0.5619047619047619,0.08857654875113465,381
gini,1,log2,10,2,random,0.5,0.0,513
gini,1,log2,10,5,best,0.5619047619047619,0.08857654875113465,381
gini,1,log2,10,5,random,0.5,0.0,513
gini,1,log2,10,10,best,0.5619047619047619,0.08857654875113465,381
gini,1,log2,10,10,random,0.5,0.0,513
gini,1,log2,10,100,best,0.5619047619047619,0.08857654875113465,381
gini,1,log2,10,100,random,0.5,0.0,513
gini,1,log2,50,2,best,0.46190476190476193,0.06135285107964347,945
gini,1,log2,50,2,random,0.5,0.0,513
gini,1,log2,50,5,best,0.46190476190476193,0.06135285107964347,945
gini,1,log2,50,5,random,0.5,0.0,513
gini,1,log2,50,10,best,0.46190476190476193,0.06135285107964347,945
gini,1,log2,50,10,random,0.5,0.0,513
gini,1,log2,50,100,best,0.46190476190476193,0.06135285107964347,945
gini,1,log2,50,100,random,0.5,0.0,513
gini,1,log2,100,2,best,0.5,0.0,513
gini,1,log2,100,2,random,0.5,0.0,513
gini,1,log2,100,5,best,0.5,0.0,513
gini,1,log2,100,5,random,0.5,0.0,513
gini,1,log2,100,10,best,0.5,0.0,513
gini,1,log2,100,10,random,0.5,0.0,513
gini,1,log2,100,100,best,0.5,0.0,513
gini,1,log2,100,100,random,0.5,0.0,513
gini,1,,1,2,best,0.680952380952381,0.0832993127835043,42
gini,1,,1,2,random,0.5190476190476191,0.03499271061118828,509
gini,1,,1,5,best,0.680952380952381,0.0832993127835043,42
gini,1,,1,5,random,0.5190476190476191,0.03499271061118828,509
gini,1,,1,10,best,0.680952380952381,0.0832993127835043,42
gini,1,,1,10,random,0.5190476190476191,0.03499271061118828,509
gini,1,,1,100,best,0.680952380952381,0.0832993127835043,42
gini,1,,1,100,random,0.5190476190476191,0.03499271061118828,509
gini,1,,5,2,best,0.680952380952381,0.0832993127835043,42
gini,1,,5,2,random,0.5238095238095238,0.03984095364447979,505
gini,1,,5,5,best,0.680952380952381,0.0832993127835043,42
gini,1,,5,5,random,0.5238095238095238,0.03984095364447979,505
gini,1,,5,10,best,0.680952380952381,0.0832993127835043,42
gini,1,,5,10,random,0.5238095238095238,0.03984095364447979,505
gini,1,,5,100,best,0.680952380952381,0.0832993127835043,42
gini,1,,5,100,random,0.5238095238095238,0.03984095364447979,505
gini,1,,10,2,best,0.680952380952381,0.0832993127835043,42
gini,1,,10,2,random,0.5285714285714286,0.05084322977157767,497
gini,1,,10,5,best,0.680952380952381,0.0832993127835043,42
gini,1,,10,5,random,0.5285714285714286,0.05084322977157767,497
gini,1,,10,10,best,0.680952380952381,0.0832993127835043,42
gini,1,,10,10,random,0.5285714285714286,0.05084322977157767,497
gini,1,,10,100,best,0.680952380952381,0.0832993127835043,42
gini,1,,10,100,random,0.5285714285714286,0.05084322977157767,497
gini,1,,50,2,best,0.6952380952380952,0.09689042833036099,16
gini,1,,50,2,random,0.5,0.0,513
gini,1,,50,5,best,0.6952380952380952,0.09689042833036099,16
gini,1,,50,5,random,0.5,0.0,513
gini,1,,50,10,best,0.6952380952380952,0.09689042833036099,16
gini,1,,50,10,random,0.5,0.0,513
gini,1,,50,100,best,0.6952380952380952,0.09689042833036099,16
gini,1,,50,100,random,0.5,0.0,513
gini,1,,100,2,best,0.5,0.0,513
gini,1,,100,2,random,0.5,0.0,513
gini,1,,100,5,best,0.5,0.0,513
gini,1,,100,5,random,0.5,0.0,513
gini,1,,100,10,best,0.5,0.0,513
gini,1,,100,10,random,0.5,0.0,513
gini,1,,100,100,best,0.5,0.0,513
gini,1,,100,100,random,0.5,0.0,513
gini,10,sqrt,1,2,best,0.6619047619047619,0.09805362039035238,168
gini,10,sqrt,1,2,random,0.6190476190476191,0.042591770999995976,354
gini,10,sqrt,1,5,best,0.6476190476190476,0.05084322977157769,213
gini,10,sqrt,1,5,random,0.6095238095238095,0.055532875189002844,360
gini,10,sqrt,1,10,best,0.6714285714285715,0.040963453652583935,90
gini,10,sqrt,1,10,random,0.5666666666666667,0.0645936188869073,379
gini,10,sqrt,1,100,best,0.6571428571428571,0.0761904761904762,170
gini,10,sqrt,1,100,random,0.5619047619047619,0.07468755781599107,381
gini,10,sqrt,5,2,best,0.6380952380952382,0.0920908552657796,255
gini,10,sqrt,5,2,random,0.5,0.0,513
gini,10,sqrt,5,5,best,0.6380952380952382,0.0920908552657796,255
gini,10,sqrt,5,5,random,0.5,0.0,513
gini,10,sqrt,5,10,best,0.6380952380952382,0.0920908552657796,255
gini,10,sqrt,5,10,random,0.5,0.0,513
