criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mean_test_score,std_test_score,rank_test_score
gini,1,sqrt,1,2,1,0.4809523809523809,0.046168379594441235,3937
gini,1,sqrt,1,2,5,0.6904761904761905,0.07529232524210427,1954
gini,1,sqrt,1,2,10,0.7095238095238096,0.11605769149479943,644
gini,1,sqrt,1,2,25,0.6857142857142857,0.10900498230723424,2165
gini,1,sqrt,1,2,50,0.7095238095238094,0.10257456775494293,779
gini,1,sqrt,1,2,75,0.7,0.11328930717495542,1430
gini,1,sqrt,1,2,100,0.7095238095238094,0.11208192662799826,779
gini,1,sqrt,1,5,1,0.4809523809523809,0.046168379594441235,3937
gini,1,sqrt,1,5,5,0.6904761904761905,0.07529232524210427,1954
gini,1,sqrt,1,5,10,0.7095238095238096,0.11605769149479943,644
gini,1,sqrt,1,5,25,0.6857142857142857,0.10900498230723424,2165
gini,1,sqrt,1,5,50,0.7095238095238094,0.10257456775494293,779
gini,1,sqrt,1,5,75,0.7,0.11328930717495542,1430
gini,1,sqrt,1,5,100,0.7095238095238094,0.11208192662799826,779
gini,1,sqrt,1,10,1,0.4809523809523809,0.046168379594441235,3937
gini,1,sqrt,1,10,5,0.6904761904761905,0.07529232524210427,1954
gini,1,sqrt,1,10,10,0.7095238095238096,0.11605769149479943,644
gini,1,sqrt,1,10,25,0.6857142857142857,0.10900498230723424,2165
gini,1,sqrt,1,10,50,0.7095238095238094,0.10257456775494293,779
gini,1,sqrt,1,10,75,0.7,0.11328930717495542,1430
gini,1,sqrt,1,10,100,0.7095238095238094,0.11208192662799826,779
gini,1,sqrt,1,100,1,0.4809523809523809,0.046168379594441235,3937
gini,1,sqrt,1,100,5,0.6904761904761905,0.07529232524210427,1954
gini,1,sqrt,1,100,10,0.7095238095238096,0.11605769149479943,644
gini,1,sqrt,1,100,25,0.6857142857142857,0.10900498230723424,2165
gini,1,sqrt,1,100,50,0.7,0.11328930717495539,1430
gini,1,sqrt,1,100,75,0.7,0.11328930717495542,1430
gini,1,sqrt,1,100,100,0.7047619047619047,0.1092128089636163,990
gini,1,sqrt,2,2,1,0.4809523809523809,0.046168379594441235,3937
gini,1,sqrt,2,2,5,0.6904761904761905,0.07529232524210427,1954
gini,1,sqrt,2,2,10,0.7095238095238096,0.11605769149479943,644
gini,1,sqrt,2,2,25,0.6857142857142857,0.10900498230723424,2165
gini,1,sqrt,2,2,50,0.7095238095238094,0.10257456775494293,779
gini,1,sqrt,2,2,75,0.7,0.11328930717495542,1430
gini,1,sqrt,2,2,100,0.7095238095238094,0.11208192662799826,779
gini,1,sqrt,2,5,1,0.4809523809523809,0.046168379594441235,3937
gini,1,sqrt,2,5,5,0.6904761904761905,0.07529232524210427,1954
gini,1,sqrt,2,5,10,0.7095238095238096,0.11605769149479943,644
gini,1,sqrt,2,5,25,0.6857142857142857,0.10900498230723424,2165
gini,1,sqrt,2,5,50,0.7095238095238094,0.10257456775494293,779
gini,1,sqrt,2,5,75,0.7,0.11328930717495542,1430
gini,1,sqrt,2,5,100,0.7095238095238094,0.11208192662799826,779
gini,1,sqrt,2,10,1,0.4809523809523809,0.046168379594441235,3937
gini,1,sqrt,2,10,5,0.6904761904761905,0.07529232524210427,1954
gini,1,sqrt,2,10,10,0.7095238095238096,0.11605769149479943,644
gini,1,sqrt,2,10,25,0.6857142857142857,0.10900498230723424,2165
gini,1,sqrt,2,10,50,0.7095238095238094,0.10257456775494293,779
gini,1,sqrt,2,10,75,0.7,0.11328930717495542,1430
gini,1,sqrt,2,10,100,0.7095238095238094,0.11208192662799826,779
gini,1,sqrt,2,100,1,0.4809523809523809,0.046168379594441235,3937
gini,1,sqrt,2,100,5,0.6904761904761905,0.07529232524210427,1954
gini,1,sqrt,2,100,10,0.7095238095238096,0.11605769149479943,644
gini,1,sqrt,2,100,25,0.6857142857142857,0.10900498230723424,2165
gini,1,sqrt,2,100,50,0.7,0.11328930717495539,1430
gini,1,sqrt,2,100,75,0.7,0.11328930717495542,1430
gini,1,sqrt,2,100,100,0.7047619047619047,0.1092128089636163,990
gini,1,sqrt,5,2,1,0.4999999999999999,0.04994327848429294,3869
gini,1,sqrt,5,2,5,0.6904761904761905,0.07529232524210427,1954
